X,Y,|u|,ux,uy,Status,elastic_strain_xx,elastic_strain_yy,elastic_strain_zz,elastic_strain_xy,plastic_strain_xx,plastic_strain_yy,plastic_strain_zz,plastic_strain_xy,Mises,Stress_xx,Stress_yy,Stress_zz,Stress_xy,strain_xx,strain_yy,strain_xy
4.08,0,0,-1.15E-38,-1.72E-37,0,-0.000022267,-0.000722764,0,0.00107775,0,0,0,0,13.5448,-6.70431,-14.787,-6.44739,6.21778,-2.23E-05,-0.000722764,1.08E-03
4.12,0,0,-1.51E-38,-1.73E-37,0,-2.24E-05,-0.000712785,0,0.00103233,0,0,0,0,13.1151,-6.62069,-14.5866,-6.3622,5.95576,-2.24E-05,-0.000712785,1.03E-03
4.16,0,0,-1.88E-38,-1.75E-37,0,-2.25E-05,-0.000703258,0,0.000986697,0,0,0,0,12.6896,-6.54081,-14.3954,-6.28085,5.69248,-2.25E-05,-0.000703258,9.87E-04
4.2,0,0,-2.26E-38,-1.76E-37,0,-2.26E-05,-0.000694184,0,0.00094086,0,0,0,0,12.2693,-6.46467,-14.2132,-6.20335,5.42804,-2.26E-05,-0.000694184,9.41E-04
4.24,0,0,-2.65E-38,-1.78E-37,0,-2.28E-05,-0.000685562,0,0.000894835,0,0,0,0,11.8547,-6.39226,-14.04,-6.12968,5.16251,-2.28E-05,-0.000685562,8.95E-04
4.28,0,0,-3.05E-38,-1.81E-37,0,-2.29E-05,-0.000677389,0,0.000848637,0,0,0,0,11.4466,-6.32361,-13.8759,-6.05984,4.89599,-2.29E-05,-0.000677389,8.49E-04
4.32,0,0,-3.46E-38,-1.83E-37,0,-0.000022954,-0.000669666,0,0.00080228,0,0,0,0,11.0461,-6.25868,-13.7207,-5.99383,4.62854,-2.30E-05,-0.000669666,8.02E-04
4.36,0,0,-3.88E-38,-1.85E-37,0,-2.30E-05,-0.000662391,0,0.000755776,0,0,0,0,10.654,-6.1975,-13.5746,-5.93163,4.36025,-2.30E-05,-0.000662391,7.56E-04
4.4,0,0,-4.31E-38,-1.88E-37,0,-2.31E-05,-0.000655563,0,0.000709137,0,0,0,0,10.2715,-6.14004,-13.4374,-5.87324,4.09118,-2.31E-05,-0.000655563,7.09E-04
4.44,0,0,-4.74E-38,-1.91E-37,0,-2.32E-05,-0.000649182,0,0.000662375,0,0,0,0,9.89985,-6.08631,-13.3092,-5.81866,3.82139,-2.32E-05,-0.000649182,6.62E-04
